fecha,precio
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 16:05," 199,00"
06-05-19 17:05," 199,00"
06-05-19 17:05," 199,00"
06-05-19 17:05," 199,00"
06-05-19 17:05," 199,00"
06-05-19 17:05," 199,00"
06-05-19 17:05," 199,00"
06-05-19 17:05," 199,00"
06-05-19 17:05," 199,00"
06-05-19 17:05," 199,00"
